ciudad_id,num_trabajador,refresco_id,rfc_cliente,rfc_tienda,dia_id,cantidad_venta,venta_$
6,1007,4,SEV850615M56,SEV3334445556,16,129,1548.0
6,1006,1,AXO901201T89,OXA9990001113,4,185,2775.0
10,1009,1,SEV850615M56,SEV6667778880,43,126,1890.0
3,1005,6,SOR900728N45,SOR6667778889,1,42,504.0
1,1007,9,SOR900728N45,SOR9990001112,14,34,476.0
6,1001,9,CER881112L67,CHT7778889991,47,25,350.0
10,1003,7,SOR900728N45,SOR9990001112,36,209,5225.0
4,1007,8,SOR900728N45,SOR6667778889,3,32,800.0
7,1005,5,AXO901201T89,OXX3334445556,19,143,1716.0
6,1008,7,SEV850615M56,SEV2223334445,32,131,3275.0
8,1003,9,AXO901201T89,OXR1112223334,29,105,1470.0
3,1004,9,SEV850615M56,SEV4445556667,29,112,1568.0
10,1006,5,AXO901201T89,OXN3334445556,19,90,1080.0
9,1008,3,WAL920304R34,WAL6667778890,2,134,2010.0
1,1004,3,SEV850615M56,SEV5556667779,26,148,2220.0
1,1005,7,AXO901201T89,OXG0001112224,4,187,4675.0
10,1004,1,SEV850615M56,SEV3334445556,45,101,1515.0
8,1003,4,AXO901201T89,OXL2223334445,42,85,1020.0
7,1005,9,AXO901201T89,OXX3334445556,43,34,476.0
1,1004,6,WAL920304R34,WAL0001112223,8,28,336.0
7,1005,7,AXO901201T89,OXZ5556667770,26,295,7375.0
1,1010,7,WAL920304R34,WAL5556667778,3,291,7275.0
6,1009,9,AXO901201T89,OXJ0001112225,28,99,1386.0
10,1001,9,AXO901201T89,OXR1112223334,12,130,1820.0
5,1010,9,WAL920304R34,WAL7778889991,22,73,1022.0
9,1007,5,SEV850615M56,SEV3334445556,39,24,288.0
10,1006,10,SEV850615M56,SEV5556667771,38,69,1242.0
7,1006,5,AXO901201T89,OXC7778889990,8,135,1620.0
6,1008,3,AXO901201T89,OXR1112223334,18,157,2355.0
7,1009,10,CER881112L67,CHC2223334446,23,82,1476.0
7,1001,9,AXO901201T89,OXL2223334445,35,96,1344.0
3,1003,3,AXO901201T89,OXP9990001112,27,150,2250.0
2,1005,5,CER881112L67,CHI8889990002,4,52,624.0
8,1008,5,AXO901201T89,OXA9990001113,48,57,684.0
1,1003,2,WAL920304R34,WAL7778889991,50,37,555.0
7,1003,1,AXO901201T89,OXI9876543210,37,287,4305.0
6,1001,7,AXO901201T89,OXL4445556668,15,262,6550.0
7,1006,9,AXO901201T89,OXC1234567890,41,76,1064.0
6,1009,7,SEV850615M56,SEV6667778880,8,267,6675.0
4,1002,2,WAL920304R34,WAL2223334447,13,49,735.0
5,1004,8,AXO901201T89,OXM9990001114,38,86,2150.0
3,1006,8,CER881112L67,CHS5556667778,25,130,3250.0
2,1006,6,CER881112L67,CHT7778889991,14,140,1680.0
2,1007,10,CER881112L67,CHT7778889991,39,102,1836.0
6,1008,7,WAL920304R34,WAL1112223334,37,228,5700.0
4,1006,1,AXO901201T89,OXC1234567890,30,226,3390.0
1,1007,9,SOR900728N45,SOR7778889990,43,117,1638.0
4,1007,5,AXO901201T89,OXL2223334445,24,98,1176.0
10,1005,7,CER881112L67,CHE4445556667,8,89,2225.0
6,1007,6,WAL920304R34,WAL2223334447,8,126,1512.0
9,1010,7,WAL920304R34,WAL5556667778,29,139,3475.0
3,1005,2,SOR900728N45,SOR7778889990,36,136,2040.0
1,1004,7,AXO901201T89,OXA9990001113,38,71,1775.0
8,1003,7,SEV850615M56,SEV5556667779,33,90,2250.0
3,1004,2,AXO901201T89,OXX3334445556,40,200,3000.0
